T,d,F
0.0,2.374553886507972,-0.0
0.1,2.374586305028641,-0.948971861472786
0.2,2.3759588439387165,-1.8522909729233732
0.3,2.401136314468046,-2.1039812069395847
0.4,2.383746380561914,-3.206719299577399
0.5,2.4034214226088957,-3.577903760978265
0.6,2.405953766042905,-4.0795764566740855
0.7,2.4174806598197205,-4.5829689630543555
0.8,2.4789106571247737,-4.35748776914114
0.9,2.4654160081309877,-4.472923378816042
1.0,2.5401425134322997,-4.213393731624502
1.1,2.5760275437328706,-5.27552128303766
1.2,2.574539244730609,-5.3662197427752165
1.3,2.667610873394541,-5.710538751502123
1.4,2.663687031661491,-5.023716343546917
1.5,2.5724581152014054,-4.190596665913121
1.6,2.8557379369958023,-5.957910714238522
1.7,2.8089175555862034,-7.005812294350527
1.8,3.250801938705758,-7.080512168180811
1.9,3.071048841293927,-7.05049077323621
2.0,3.194473363699547,-6.417289430882051
2.1,3.111320139111193,-6.903054939422742
2.2,3.2790151064007436,-8.379913700428904
2.3,3.230237270033622,-8.208677270992963
2.4,3.571433177213232,-8.929001210299752
2.5,3.501611425460617,-9.05218214163832
2.6,3.6374992395528336,-9.284716565841986
2.7,3.8142215326673474,-11.983102857696167
2.8,3.347523042957333,-8.956728775664303
2.9,3.7044409290628506,-10.374595665040692
3.0,3.6197343615919624,-10.62366207953486
3.1,3.8949516324706246,-14.565221767178514
3.2,4.056930987338564,-15.434722067342381
3.3,4.041383711714876,-15.734691174747953
3.4,4.035716713815468,-16.08474476034445
3.5,3.8578493797217233,-14.021082359555727
3.6,4.086281471008152,-17.955442984405895
3.7,4.14002517071221,-16.300558107533842
3.8,4.30961278225794,-19.712734282100023
3.9,4.251996724977883,-19.445458364020862
4.0,4.401473107753023,-23.306210894848693
