T,d,F
0.0,2.4073128612474197,-0.0
0.1,2.3925275085587008,-0.8682936812230363
0.2,2.4047549414097946,-1.3877702817637245
0.3,2.421667774782921,-2.1220869497249044
0.4,2.426169513291326,-2.7716114516917028
0.5,2.513450208254616,-2.734271786852387
0.6,2.4366128890127388,-3.392455515648573
0.7,2.607698271289204,-3.0680494658529844
0.8,2.6889600746758378,-2.7865095296106634
0.9,2.7500839321760426,-3.936269225810702
1.0,3.4829286423469217,-3.3817441960625954
1.1,3.359498712440137,-3.0173033790267287
1.2,4.113089483815696,-4.504650588943051
1.3,3.4381547397824743,-4.8178758161423065
1.4,3.742436982036542,-4.490820040611523
1.5,4.1262260034865115,-5.31732253637497
1.6,4.3673861342440885,-7.8488405645709465
1.7,4.290292333137259,-7.076717057339157
1.8,4.507260369357308,-6.837981644613997
1.9,4.536123922702916,-9.87205897205916
2.0,4.582089565465436,-10.753337134407642
2.1,4.75465224698471,-10.144500117690463
2.2,4.648108535279904,-9.853113759179815
2.3,4.656606424179884,-12.563407112952866
2.4,4.835083539477454,-13.489400250521717
2.5,4.747225733180166,-13.127652812507204
2.6,4.82120882101561,-14.260962842480248
2.7,4.842269556727255,-16.41988618024783
2.8,4.8010679219871095,-16.6379888668787
2.9,4.895707380001585,-17.170302070089864
3.0,4.874933220583896,-16.595662715171983
3.1,4.807335206036283,-17.039436643356037
3.2,4.944921380430977,-20.921939279727837
3.3,4.9335300854180835,-20.145053040468607
3.4,4.9416773732872645,-22.80096248880771
3.5,5.006474697865901,-25.246354069957487
3.6,4.971844731258105,-23.317445182956856
3.7,5.017204204761569,-24.655563752411023
3.8,5.01638177351868,-25.557789584092326
3.9,5.011920002437478,-26.524568970384117
4.0,5.024131064352178,-28.319488095458308
